MATCH_DATE,IDENTITY_CODE,TEAM_1,GROUND,TEAM_2,WINNER_INNING,WINNER,HOST_COUNTRY
"Feb 10, 2008",ODI # 2675,Australia,Melbourne,India,Winner2ndInning,India,Australia
"Feb 12, 2008",ODI # 2676,Sri Lanka,Canberra,India,Winner2ndInning,Sri Lanka,Australia
"Feb 17, 2008",ODI # 2680,Australia,Adelaide,India,Winner1stInning,Australia,Australia
"Feb 19, 2008",ODI # 2681,Sri Lanka,Adelaide,India,Winner2ndInning,India,Australia
"Feb 24, 2008",ODI # 2685,Australia,Sydney,India,Winner1stInning,Australia,Australia
"Feb 26, 2008",ODI # 2686,Sri Lanka,Hobart,India,Winner2ndInning,India,Australia
"Mar 2, 2008",ODI # 2688,Australia,Sydney,India,Winner2ndInning,India,Australia
"Mar 4, 2008",ODI # 2689,Australia,Brisbane,India,Winner1stInning,India,Australia
"Jun 10, 2008",ODI # 2705,Pakistan,Dhaka,India,Winner1stInning,India,Bangladesh
"Jun 12, 2008",ODI # 2706,Bangladesh,Dhaka,India,Winner2ndInning,India,Bangladesh
"Jun 14, 2008",ODI # 2707,Pakistan,Dhaka,India,Winner1stInning,Pakistan,Bangladesh
"Jun 25, 2008",ODI # 2716,Hong Kong,Karachi,India,Winner1stInning,India,Pakistan
"Jun 26, 2008",ODI # 2717,Pakistan,Karachi,India,Winner2ndInning,India,Pakistan
"Jun 28, 2008",ODI # 2721,Bangladesh,Karachi,India,Winner2ndInning,India,Pakistan
"Jul 2, 2008",ODI # 2730,Pakistan,Karachi,India,Winner2ndInning,Pakistan,Pakistan
"Jul 3, 2008",ODI # 2732,Sri Lanka,Karachi,India,Winner2ndInning,India,Pakistan
"Jul 6, 2008",ODI # 2735,Sri Lanka,Karachi,India,Winner1stInning,Sri Lanka,Pakistan
"Aug 18, 2008",ODI # 2742,Sri Lanka,Dambulla,India,Winner2ndInning,Sri Lanka,Sri Lanka
"Aug 20, 2008",ODI # 2745,Sri Lanka,Dambulla,India,Winner2ndInning,India,Sri Lanka
"Aug 24, 2008",ODI # 2750,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Aug 27, 2008",ODI # 2755,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Aug 29, 2008",ODI # 2756,Sri Lanka,Colombo,India,Winner1stInning,Sri Lanka,Sri Lanka
"Nov 14, 2008",ODI # 2774,England,Rajkot,India,Winner1stInning,India,India
"Nov 17, 2008",ODI # 2777,England,Indore,India,Winner1stInning,India,India
"Nov 20, 2008",ODI # 2778,England,Kanpur,India,Winner1stInning,India,India
"Nov 23, 2008",ODI # 2781,England,Bengaluru,India,Winner1stInning,India,India
"Nov 26, 2008",ODI # 2783,England,Cuttack,India,Winner2ndInning,India,India
"Jan 28, 2009",ODI # 2806,Sri Lanka,Dambulla,India,Winner2ndInning,India,Sri Lanka
"Jan 31, 2009",ODI # 2810,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Feb 3, 2009",ODI # 2813,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Feb 5, 2009",ODI # 2815,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Feb 8, 2009",ODI # 2818,Sri Lanka,Colombo,India,Winner1stInning,Sri Lanka,Sri Lanka
"Mar 3, 2009",ODI # 2821,New Zealand,Napier,India,Winner1stInning,India,New Zealand
"Mar 8, 2009",ODI # 2823,New Zealand,Christchurch,India,Winner1stInning,India,New Zealand
"Mar 11, 2009",ODI # 2824,New Zealand,Hamilton,India,Winner1stInning,India,New Zealand
